"anime_id","name","genre","type","episodes","rating"
11665,"Natsume Yuujinchou Shi","Drama, Fantasy, Shoujo, Slice of Life, Supernatural","TV","13",8.75
11741,"Fate/Zero 2nd Season","Action, Fantasy, Supernatural, Thriller","TV","12",8.73
19,"Monster","Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller","TV","74",8.72
12365,"Bakuman. 3rd Season","Comedy, Drama, Romance, Shounen","TV","25",8.71
1535,"Death Note","Mystery, Police, Psychological, Supernatural, Thriller","TV","37",8.71
30654,"Ansatsu Kyoushitsu (TV) 2nd Season","Action, Comedy, School, Shounen","TV","25",8.68
20583,"Haikyuu!!","Comedy, Drama, School, Shounen, Sports","TV","25",8.68
19647,"Hajime no Ippo: Rising","Comedy, Drama, Shounen, Sports","TV","25",8.68
10379,"Natsume Yuujinchou San","Drama, Fantasy, Shoujo, Slice of Life, Supernatural","TV","13",8.67
22135,"Ping Pong The Animation","Psychological, Seinen, Sports","TV","11",8.67
31043,"Boku dake ga Inai Machi","Mystery, Psychological, Seinen, Supernatural","TV","12",8.65
7785,"Yojouhan Shinwa Taikei","Mystery, Psychological, Romance","TV","11",8.65
3297,"Aria The Origination","Fantasy, Sci-Fi, Shounen, Slice of Life","TV","13",8.64
6114,"Rainbow: Nisha Rokubou no Shichinin","Drama, Historical, Seinen, Thriller","TV","26",8.64
31240,"Re:Zero kara Hajimeru Isekai Seikatsu","Drama, Fantasy, Psychological, Thriller","TV","25",8.64
5300,"Zoku Natsume Yuujinchou","Drama, Fantasy, Shoujo, Slice of Life, Supernatural","TV","13",8.64
9989,"Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.","Drama, Slice of Life, Supernatural","TV","11",8.62
24415,"Kuroko no Basket 3rd Season","Comedy, School, Shounen, Sports","TV","25",8.62
28171,"Shokugeki no Souma","Ecchi, School, Shounen","TV","24",8.61
32995,"Yuri!!! on Ice","Comedy, Sports","TV","12",8.61
26055,"JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season","Action, Adventure, Drama, Shounen, Supernatural","TV","24",8.6
22535,"Kiseijuu: Sei no Kakuritsu","Action, Drama, Horror, Psychological, Sci-Fi, Seinen","TV","24",8.59
28735,"Shouwa Genroku Rakugo Shinjuu","Drama, Historical, Josei","TV","13",8.59
12431,"Uchuu Kyoudai","Comedy, Sci-Fi, Seinen, Slice of Life, Space","TV","99",8.59
16894,"Kuroko no Basket 2nd Season","Comedy, School, Shounen, Sports","TV","25",8.58
5028,"Major S5","Comedy, Drama, Romance, Sports","TV","25",8.58
21,"One Piece","Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power","TV","Unknown",8.58
801,"Ghost in the Shell: Stand Alone Complex 2nd GIG","Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen","TV","26",8.57
31933,"JoJo no Kimyou na Bouken: Diamond wa Kudakenai","Action, Adventure, Comedy, Drama, Shounen, Supernatural","TV","39",8.57
17389,"Kingdom 2nd Season","Action, Historical, Military, Seinen","TV","39",8.57
170,"Slam Dunk","Comedy, Drama, School, Shounen, Sports","TV","101",8.56
10162,"Usagi Drop","Josei, Slice of Life","TV","11",8.56
32182,"Mob Psycho 100","Action, Comedy, Slice of Life, Supernatural","TV","12",8.55
877,"Nana","Comedy, Drama, Music, Romance, Shoujo, Slice of Life","TV","47",8.55
2251,"Baccano!","Action, Comedy, Historical, Mystery, Seinen, Supernatural","TV","13",8.54
16498,"Shingeki no Kyojin","Action, Drama, Fantasy, Shounen, Super Power","TV","25",8.54
10030,"Bakuman. 2nd Season","Comedy, Drama, Romance, Shounen","TV","25",8.53
5941,"Cross Game","Comedy, Drama, Romance, School, Sports","TV","50",8.53
13125,"Shinsekai yori","Drama, Horror, Mystery, Sci-Fi, Supernatural","TV","25",8.53
14397,"Chihayafuru 2","Drama, Game, Josei, Slice of Life, Sports","TV","25",8.52
10087,"Fate/Zero","Action, Fantasy, Supernatural","TV","13",8.51
14719,"JoJo no Kimyou na Bouken (TV)","Action, Adventure, Shounen, Supernatural, Vampire","TV","26",8.51
9756,"Mahou Shoujo Madoka★Magica","Drama, Magic, Psychological, Thriller","TV","12",8.51
10165,"Nichijou","Comedy, School, Slice of Life","TV","26",8.52
13601,"Psycho-Pass","Action, Police, Psychological, Sci-Fi","TV","22",8.5
22789,"Barakamon","Comedy, Slice of Life","TV","12",8.5
30230,"Diamond no Ace: Second Season","Comedy, School, Shounen, Sports","TV","51",8.5
18115,"Magi: The Kingdom of Magic","Action, Adventure, Fantasy, Magic, Shounen","TV","25",8.5
205,"Samurai Champloo","Action, Adventure, Comedy, Historical, Samurai, Shounen","TV","26",8.5
32282,"Shokugeki no Souma: Ni no Sara","Ecchi, School, Shounen","TV","13",8.5
6594,"Katanagatari","Action, Adventure, Historical, Martial Arts, Romance","TV","12",8.49
7655,"Major S6","Comedy, Drama, Sports","TV","25",8.49
2246,"Mononoke","Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural","TV","12",8.49
25835,"Shirobako","Comedy, Drama","TV","24",8.49
2921,"Ashita no Joe 2","Drama, Sports","TV","47",8.48
136,"Hunter x Hunter","Action, Adventure, Shounen, Super Power","TV","62",8.48
30503,"Noragami Aragoto","Action, Adventure, Shounen, Supernatural","TV","13",8.48
12531,"Sakamichi no Apollon","Drama, Josei, Music, Romance, School","TV","12",8.48
467,"Ghost in the Shell: Stand Alone Complex","Action, Mecha, Military, Police, Sci-Fi, Seinen","TV","26",8.47
19815,"No Game No Life","Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural","TV","12",8.47
2559,"Romeo no Aoi Sora","Adventure, Drama, Historical, Slice of Life","TV","33",8.47
392,"Yuu☆Yuu☆Hakusho","Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen","TV","112",8.47
486,"Kino no Tabi: The Beautiful World","Action, Adventure, Slice of Life","TV","13",8.46
11771,"Kuroko no Basket","Comedy, School, Shounen, Sports","TV","25",8.46
1698,"Nodame Cantabile","Comedy, Drama, Josei, Music, Romance, Slice of Life","TV","23",8.46
5341,"Ookami to Koushinryou II","Adventure, Fantasy, Historical, Romance","TV","12",8.46
28701,"Fate/stay night: Unlimited Blade Works 2nd Season","Action, Fantasy, Magic, Shounen, Supernatural","TV","13",8.45
5420,"Kemono no Souja Erin","Drama, Fantasy","TV","50",8.45
4224,"Toradora!","Comedy, Romance, School, Slice of Life","TV","25",8.45
31181,"Owarimonogatari","Comedy, Mystery, Supernatural","TV","12",8.43
45,"Rurouni Kenshin: Meiji Kenkaku Romantan","Action, Adventure, Comedy, Historical, Romance, Samurai","TV","94",8.43
22297,"Fate/stay night: Unlimited Blade Works","Action, Fantasy, Magic, Shounen, Supernatural","TV","12",8.42
627,"Major S1","Comedy, Drama, Shounen, Sports","TV","26",8.42
23755,"Nanatsu no Taizai","Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural","TV","24",8.42
4081,"Natsume Yuujinchou","Drama, Fantasy, Shoujo, Slice of Life, Supernatural","TV","13",8.42
1889,"Higurashi no Naku Koro ni Kai","Mystery, Psychological, Supernatural, Thriller","TV","24",8.41
558,"Major S2","Comedy, Drama, Shounen, Sports","TV","26",8.41
5040,"One Outs","Psychological, Seinen, Sports","TV","25",8.41
57,"Beck","Comedy, Drama, Music, Shounen, Slice of Life","TV","26",8.4
33,"Berserk","Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural","TV","25",8.4
1842,"Major S3","Drama, Shounen, Sports","TV","26",8.4
1210,"NHK ni Youkoso!","Comedy, Drama, Psychological, Romance","TV","24",8.4
338,"Rose of Versailles","Adventure, Drama, Historical, Romance, Shoujo","TV","40",8.4
13759,"Sakurasou no Pet na Kanojo","Comedy, Drama, Romance, School, Slice of Life","TV","24",8.4
6547,"Angel Beats!","Action, Comedy, Drama, School, Supernatural","TV","13",8.39
5081,"Bakemonogatari","Mystery, Romance, Supernatural, Vampire","TV","15",8.39
32867,"Bungou Stray Dogs 2nd Season","Mystery, Seinen, Supernatural","TV","12",8.39
853,"Ouran Koukou Host Club","Comedy, Harem, Romance, School, Shoujo","TV","26",8.39
6746,"Durarara!!","Action, Mystery, Supernatural","TV","24",8.38
5690,"Nodame Cantabile Finale","Comedy, Josei, Music, Romance","TV","11",8.38
329,"Planetes","Drama, Romance, Sci-Fi, Seinen, Space","TV","26",8.38
1142,"Hachimitsu to Clover II","Drama, Josei, Romance","TV","12",8.37
6811,"InuYasha: Kanketsu-hen","Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural","TV","26",8.37
1604,"Katekyo Hitman Reborn!","Action, Comedy, Shounen, Super Power","TV","203",8.37
22145,"Kuroshitsuji: Book of Circus","Comedy, Demons, Fantasy, Historical, Shounen, Supernatural","TV","10",8.37
2966,"Ookami to Koushinryou","Adventure, Fantasy, Historical, Romance","TV","13",8.37
31964,"Boku no Hero Academia","Action, Comedy, School, Shounen, Super Power","TV","13",8.36
19363,"Gin no Saji 2nd Season","Comedy, School, Shounen, Slice of Life","TV","11",8.36
18195,"Little Busters!: Refrain","Comedy, Drama, Romance, School, Slice of Life, Supernatural","TV","13",8.36
9863,"SKET Dance","Comedy, School, Shounen","TV","77",8.36
7674,"Bakuman.","Comedy, Romance, Shounen","TV","25",8.35
11843,"Danshi Koukousei no Nichijou","Comedy, School, Shounen, Slice of Life","TV","12",8.35
3226,"Major S4","Comedy, Drama, Shounen, Sports","TV","26",8.35
3091,"xxxHOLiC Kei","Comedy, Drama, Mystery, Psychological, Supernatural","TV","13",8.34
28223,"Death Parade","Drama, Game, Mystery, Psychological, Thriller","TV","12",8.33
121,"Fullmetal Alchemist","Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen","TV","51",8.33
3002,"Gyakkyou Burai Kaiji: Ultimate Survivor","Game, Psychological, Seinen, Thriller","TV","26",8.33
10800,"Chihayafuru","Drama, Game, Josei, Slice of Life, Sports","TV","25",8.32
813,"Dragon Ball Z","Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power","TV","291",8.32
16067,"Nagi no Asukara","Drama, Fantasy, Romance","TV","26",8.32
30,"Neon Genesis Evangelion","Action, Dementia, Drama, Mecha, Psychological, Sci-Fi","TV","26",8.32
6,"Trigun","Action, Comedy, Sci-Fi","TV","26",8.32
11123,"Sekaiichi Hatsukoi 2","Comedy, Drama, Romance, Shounen Ai","TV","12",8.31
23847,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku","Comedy, Drama, Romance, School","TV","13",8.31
962,"Aria The Natural","Fantasy, Sci-Fi, Shounen, Slice of Life","TV","26",8.3
1519,"Black Lagoon: The Second Barrage","Action, Seinen","TV","12",8.3
2167,"Clannad","Comedy, Drama, Romance, School, Slice of Life, Supernatural","TV","23",8.3
16706,"Kami nomi zo Shiru Sekai: Megami-hen","Comedy, Harem, Romance, Shounen, Supernatural","TV","12",8.3
10271,"Gyakkyou Burai Kaiji: Hakairoku-hen","Game, Psychological, Seinen, Thriller","TV","26",8.29
22507,"Initial D Final Stage","Cars, Seinen, Sports","TV","4",8.29
3701,"Kaiba","Adventure, Mystery, Romance, Sci-Fi","TV","12",8.29
33255,"Saiki Kusuo no Ψ-nan (TV)","Comedy, School, Shounen, Supernatural","TV","120",8.29
25681,"Kamisama Hajimemashita◎","Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural","TV","12",8.28
4722,"Skip Beat!","Comedy, Drama, Romance, Shoujo","TV","25",8.28
24277,"Yowamushi Pedal: Grande Road","Comedy, Drama, Shounen, Sports","TV","24",8.28
239,"Gankutsuou","Drama, Mystery, Sci-Fi, Supernatural, Thriller","TV","24",8.27
4477,"Nodame Cantabile: Paris-hen","Comedy, Josei, Music, Romance, Slice of Life","TV","11",8.27
31174,"Osomatsu-san","Comedy, Parody","TV","25",8.27
23327,"Space☆Dandy 2nd Season","Comedy, Sci-Fi, Space","TV","13",8.27
7054,"Kaichou wa Maid-sama!","Comedy, Romance, School, Shoujo","TV","26",8.26
23283,"Zankyou no Terror","Psychological, Thriller","TV","11",8.26
2025,"Darker than Black: Kuro no Keiyakusha","Action, Mystery, Sci-Fi, Super Power","TV","25",8.25
235,"Detective Conan","Adventure, Comedy, Mystery, Police, Shounen","TV","Unknown",8.25
18689,"Diamond no Ace","Comedy, School, Shounen, Sports","TV","75",8.25
22043,"Fairy Tail (2014)","Action, Adventure, Comedy, Fantasy, Magic, Shounen","TV","102",8.25
31988,"Hibike! Euphonium 2","Drama, Music, School","TV","13",8.25
20899,"JoJo no Kimyou na Bouken: Stardust Crusaders","Action, Adventure, Drama, Shounen, Supernatural","TV","24",8.25
1453,"Maison Ikkoku","Comedy, Drama, Romance, Slice of Life","TV","96",8.25
23623,"Non Non Biyori Repeat","Comedy, School, Seinen, Slice of Life","TV","12",8.26
1559,"Shijou Saikyou no Deshi Kenichi","Action, Comedy, Martial Arts, School, Shounen","TV","50",8.25
23289,"Gekkan Shoujo Nozaki-kun","Comedy, Romance, School","TV","12",8.24
18,"Initial D Fourth Stage","Action, Cars, Drama, Seinen, Sports","TV","24",8.24
4814,"Junjou Romantica 2","Comedy, Drama, Romance, Shounen Ai","TV","12",8.24
12031,"Kingdom","Action, Historical, Military, Seinen","TV","38",8.24
8129,"Kuragehime","Comedy, Josei, Slice of Life","TV","11",8.24
14513,"Magi: The Labyrinth of Magic","Action, Adventure, Fantasy, Magic, Shounen","TV","25",8.24
2581,"Mobile Suit Gundam 00","Action, Drama, Mecha, Military, Sci-Fi, Space","TV","25",8.24
30015,"ReLIFE","Romance, School, Slice of Life","TV","13",8.24
1827,"Seirei no Moribito","Action, Adventure, Fantasy, Historical","TV","26",8.24
25013,"Akatsuki no Yona","Action, Adventure, Comedy, Fantasy, Romance, Shoujo","TV","24",8.23
27833,"Durarara!!x2 Ketsu","Action, Mystery, Supernatural","TV","12",8.23
1974,"Glass no Kamen (2005)","Drama, Shoujo","TV","51",8.23
8425,"Gosick","Drama, Historical, Mystery, Romance","TV","24",8.23
185,"Initial D First Stage","Action, Cars, Drama, Seinen, Sports","TV","26",8.23
18679,"Kill la Kill","Action, Comedy, School, Super Power","TV","24",8.23
2034,"Lovely★Complex","Comedy, Romance, Shoujo","TV","24",8.23
721,"Princess Tutu","Comedy, Fantasy, Magic, Romance","TV","38",8.23
2402,"Ashita no Joe","Drama, Sports","TV","79",8.22
6702,"Fairy Tail","Action, Adventure, Comedy, Fantasy, Magic, Shounen","TV","175",8.22
31741,"Magi: Sinbad no Bouken (TV)","Action, Adventure, Fantasy, Magic, Shounen","TV","13",8.22
440,"Shoujo Kakumei Utena","Drama, Fantasy, Psychological, Shoujo","TV","39",8.22
72,"Full Metal Panic? Fumoffu","Action, Comedy, School","TV","12",8.21
3927,"Mobile Suit Gundam 00 Second Season","Action, Drama, Mecha, Military, Sci-Fi, Space","TV","25",8.21
11597,"Nisemonogatari","Comedy, Mystery, Supernatural","TV","11",8.21
28025,"Tsukimonogatari","Comedy, Mystery, Supernatural","TV","4",8.21
24833,"Ansatsu Kyoushitsu (TV)","Action, Comedy, School, Shounen","TV","22",8.2
27663,"Baby Steps 2nd Season","Romance, School, Shounen, Sports","TV","25",8.2
1482,"D.Gray-man","Action, Adventure, Comedy, Shounen","TV","103",8.2
33051,"Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season","Action, Drama, Mecha, Sci-Fi, Space","TV","25",8.2
7720,"Ookiku Furikabutte: Natsu no Taikai-hen","Comedy, Sports","TV","13",8.2
1914,"Saiunkoku Monogatari 2nd Season","Adventure, Comedy, Drama, Fantasy, Historical, Romance","TV","39",8.2
2164,"Dennou Coil","Adventure, Comedy, Drama, Mystery, Sci-Fi","TV","26",8.19
237,"Eureka Seven","Adventure, Drama, Mecha, Romance, Sci-Fi","TV","50",8.19
135,"Hikaru no Go","Comedy, Game, Shounen, Supernatural","TV","75",8.19
6045,"Kimi ni Todoke","Romance, School, Shoujo, Slice of Life","TV","25",8.19
6211,"Tokyo Magnitude 8.0","Drama","TV","11",8.19
232,"Cardcaptor Sakura","Adventure, Comedy, Drama, Fantasy, Magic, Romance, School, Shoujo","TV","70",8.18
4789,"ef: A Tale of Melodies.","Drama, Mystery, Romance, Supernatural","TV","12",8.18
16918,"Gin no Saji","Comedy, School, Shounen, Slice of Life","TV","11",8.18
16,"Hachimitsu to Clover","Comedy, Drama, Josei, Romance","TV","24",8.18
1486,"Kodomo no Omocha (TV)","Comedy, Drama, Romance, Shoujo","TV","102",8.18
25879,"Working!!!","Comedy, Romance, Slice of Life","TV","13",8.18
889,"Black Lagoon","Action, Seinen","TV","12",8.17
934,"Higurashi no Naku Koro ni","Horror, Mystery, Psychological, Supernatural, Thriller","TV","26",8.17
12189,"Hyouka","Mystery, School, Slice of Life","TV","22",8.17
1530,"Kanon (2006)","Drama, Romance, Slice of Life, Supernatural","TV","24",8.17
9656,"Kimi ni Todoke 2nd Season","Romance, School, Shoujo, Slice of Life","TV","12",8.17
20507,"Noragami","Action, Adventure, Shounen, Supernatural","TV","12",8.17
14075,"Zetsuen no Tempest","Action, Drama, Fantasy, Magic, Mystery, Psychological, Shounen","TV","24",8.17
223,"Dragon Ball","Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power","TV","153",8.16
2004,"Hanada Shounen-shi","Comedy, Drama, Slice of Life, Supernatural","TV","25",8.16
25649,"Junjou Romantica 3","Comedy, Drama, Romance, Shounen Ai","TV","12",8.16
153,"Juuni Kokuki","Action, Adventure, Fantasy, Magic, Supernatural","TV","45",8.16
302,"Mirai Shounen Conan","Adventure, Drama, Sci-Fi","TV","26",8.16
5682,"Phantom: Requiem for the Phantom","Action, Drama, Seinen, Thriller","TV","26",8.16
16049,"Toaru Kagaku no Railgun S","Action, Sci-Fi, Super Power","TV","24",8.16
1065,"Touch","Drama, Romance, School, Shounen, Slice of Life, Sports","TV","101",8.16
18179,"Yowamushi Pedal","Comedy, Drama, Shounen, Sports","TV","38",8.16
23199,"Durarara!!x2 Shou","Action, Mystery, Supernatural","TV","12",8.15
10049,"Nurarihyon no Mago: Sennen Makyou","Action, Demons, Shounen, Supernatural","TV","24",8.15
846,"School Rumble Ni Gakki","Comedy, Romance, School, Shounen","TV","26",8.15
9926,"Sekaiichi Hatsukoi","Comedy, Drama, Romance, Shounen Ai","TV","12",8.15
31173,"Akagami no Shirayuki-hime 2nd Season","Drama, Fantasy, Romance, Shoujo","TV","12",8.14
589,"Ginga Nagareboshi Gin","Action, Adventure, Drama, Shounen","TV","21",8.14
15059,"Initial D Fifth Stage","Action, Cars, Drama, Seinen, Sports","TV","14",8.14
7791,"K-On!!","Comedy, Music, School, Slice of Life","TV","26",8.14
17265,"Log Horizon","Action, Adventure, Fantasy, Game, Magic, Shounen","TV","25",8.14
535,"Slayers Next","Adventure, Comedy, Demons, Fantasy, Magic","TV","26",8.14
2762,"Igano Kabamaru","Adventure, Comedy, Romance, Shounen","TV","24",8.13
14713,"Kamisama Hajimemashita","Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural","TV","13",8.13
31098,"Ushio to Tora (TV) 2nd Season","Comedy, Demons, Shounen, Supernatural","TV","13",8.13
33253,"Ajin 2nd Season","Action, Horror, Mystery, Seinen, Supernatural","TV","13",8.12
1471,"City Hunter 2","Action, Comedy, Mystery, Shounen","TV","63",8.12
27831,"Durarara!!x2 Ten","Action, Mystery, Supernatural","TV","12",8.12
2924,"ef: A Tale of Memories.","Drama, Mystery, Romance","TV","12",8.12
3907,"Ginga Sengoku Gunyuuden Rai","Adventure, Romance, Sci-Fi, Shounen, Space","TV","52",8.12
186,"Initial D Second Stage","Action, Cars, Drama, Seinen, Sports","TV","13",8.12
10080,"Kami nomi zo Shiru Sekai II","Comedy, Harem, Romance, Shounen, Supernatural","TV","12",8.12
9941,"Tiger &amp; Bunny","Action, Comedy, Mystery, Super Power","TV","25",8.12
14813,"Yahari Ore no Seishun Love Comedy wa Machigatteiru.","Comedy, Drama, Romance, School","TV","13",8.12
21855,"Hanamonogatari","Comedy, Mystery, Supernatural","TV","5",8.11
11739,"Kimi to Boku. 2","Comedy, Drama, Romance, School, Shounen, Slice of Life","TV","13",8.11
2159,"Ookiku Furikabutte","Comedy, Sports","TV","25",8.11
28297,"Ore Monogatari!!","Comedy, Romance, Shoujo","TV","24",8.11
861,"xxxHOLiC","Comedy, Drama, Mystery, Psychological, Supernatural","TV","24",8.11
9996,"Hyouge Mono","Historical, Samurai, Seinen","TV","39",8.1
77,"Mahou Shoujo Lyrical Nanoha A&#039;s","Action, Comedy, Drama, Magic, Super Power","TV","13",8.1
32093,"Tanaka-kun wa Itsumo Kedaruge","Comedy, School, Slice of Life","TV","12",8.1
5678,"Kobato.","Comedy, Drama, Fantasy","TV","24",8.09
6774,"Kuuchuu Buranko","Comedy, Drama, Psychological, Seinen","TV","11",8.09
15,"Eyeshield 21","Action, Comedy, Shounen, Sports","TV","145",8.08
122,"Full Moon wo Sagashite","Comedy, Drama, Music, Romance, Shoujo, Supernatural","TV","52",8.08
29095,"Grisaia no Rakuen","Drama, Harem, Psychological, Romance","TV","10",8.08
1594,"Jigoku Shoujo Futakomori","Horror, Mystery, Psychological, Supernatural","TV","26",8.08
3092,"Junjou Romantica","Comedy, Drama, Romance, Shounen Ai","TV","12",8.08
10721,"Mawaru Penguindrum","Comedy, Drama, Mystery, Psychological","TV","24",8.08
3588,"Soul Eater","Action, Adventure, Comedy, Fantasy, Shounen, Supernatural","TV","51",8.08
387,"Haibane Renmei","Drama, Fantasy, Mystery, Psychological, Slice of Life","TV","13",8.07
1088,"Macross","Action, Mecha, Military, Music, Romance, Sci-Fi, Space","TV","36",8.07
10620,"Mirai Nikki (TV)","Action, Mystery, Psychological, Shounen, Supernatural, Thriller","TV","26",8.07
6582,"Tentai Senshi Sunred 2nd Season","Comedy, Parody, Seinen, Super Power","TV","26",8.07
2158,"Terra e... (TV)","Action, Drama, Military, Sci-Fi, Space","TV","24",8.07
22319,"Tokyo Ghoul","Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural","TV","12",8.07
6586,"Yume-iro Pâtissière","Kids, School, Shoujo","TV","50",8.07
66,"Azumanga Daioh","Comedy, School, Slice of Life","TV","26",8.06
73,"Full Metal Panic! The Second Raid","Action, Mecha, Military","TV","13",8.06
4898,"Kuroshitsuji","Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural","TV","24",8.06
19111,"Love Live! School Idol Project 2nd Season","Music, School, Slice of Life","TV","13",8.06
15689,"Nekomonogatari: Kuro","Comedy, Romance, Supernatural","TV","4",8.06
957,"Saiunkoku Monogatari","Adventure, Comedy, Drama, Fantasy, Historical, Romance","TV","39",8.06
24,"School Rumble","Comedy, Romance, School, Shounen","TV","26",8.06
849,"Suzumiya Haruhi no Yuuutsu","Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life","TV","14",8.06
427,"Kaleido Star","Comedy, Drama, Fantasy, Shoujo","TV","51",8.05
17549,"Non Non Biyori","Comedy, School, Seinen, Slice of Life","TV","12",8.05
28,"Yakitate!! Japan","Comedy, Shounen","TV","69",8.05
9513,"Beelzebub","Action, Comedy, Demons, School, Shounen, Supernatural","TV","60",8.04
13331,"Jormungand: Perfect Order","Action, Adventure, Seinen","TV","12",8.04
29803,"Overlord","Action, Adventure, Fantasy, Game, Magic, Supernatural","TV","13",8.04
22,"Prince of Tennis","Action, Comedy, School, Shounen, Sports","TV","178",8.04
2618,"Takarajima","Adventure, Drama, Historical, Mystery","TV","26",8.04
30279,"Yuru Yuri San☆Hai!","Comedy, School, Shoujo Ai, Slice of Life","TV","12",8.04
2035,"Eikoku Koi Monogatari Emma: Molders-hen","Drama, Historical, Romance, Seinen, Slice of Life","TV","12",8.03
790,"Ergo Proxy","Mystery, Psychological, Sci-Fi","TV","23",8.03
9289,"Hanasaku Iroha","Comedy, Drama, Seinen, Slice of Life","TV","26",8.03
15809,"Hataraku Maou-sama!","Comedy, Demons, Fantasy, Romance, Shounen","TV","13",8.03
27989,"Hibike! Euphonium","Drama, Music, School","TV","13",8.03
5630,"Higashi no Eden","Action, Comedy, Drama, Mystery, Romance, Sci-Fi, Thriller","TV","11",8.03
2829,"Ie Naki Ko Remi","Adventure, Drama, Historical, Slice of Life","TV","23",8.03
30831,"Kono Subarashii Sekai ni Shukufuku wo!","Adventure, Comedy, Fantasy, Supernatural","TV","10",8.03
85,"Mobile Suit Zeta Gundam","Drama, Mecha, Military, Sci-Fi, Space","TV","50",8.03
30240,"Prison School","Comedy, Ecchi, Romance, School, Seinen","TV","12",8.03
1254,"Saint Seiya","Adventure, Fantasy, Sci-Fi, Shounen","TV","114",8.03
2605,"Sayonara Zetsubou Sensei","Comedy, Parody, School","TV","12",8.03
3228,"Zoku Sayonara Zetsubou Sensei","Comedy, Parody, School","TV","13",8.03
1485,"Akachan to Boku","Comedy, Drama, Shoujo","TV","35",8.02
3572,"Macross F","Action, Mecha, Military, Music, Romance, Sci-Fi, Space","TV","25",8.02
114,"Sakigake!! Cromartie Koukou","Comedy, School, Shounen","TV","26",8.02
